Chayote,佛手瓜
Jalapeno,墨西哥辣椒
Bitter Melon Leaf,苦瓜叶
Cilantro,香菜
Long Chile,长辣椒
Indian Bit Melon,印度苦瓜
Green Onion,青葱
Red Thai Chile,泰国红辣椒
Indian Egglant,印度茄子
Dakon Japanese,日本萝卜
Mixed Thai Chile
Philipino eggplant
Daikon,日萝卜
Anaheim Chile,
Thai EggPlant,泰國茄子
Okra,秋葵
Shishito Chile,
Chinese Eggplant,中國茄子
Lime,青柠檬
Red Onion,紅蔥頭
Lng Bean (Green),長豆
Lemon,柠檬
Yellow Onion,黃洋蔥
White Long Bean,白长豆
Pickles,
White Onion,白洋蔥
Lemon Grass,檸檬草
Green Bean,四季豆
Shallot (China),紅蔥頭(中國)
Upo,蒲瓜
Snow Pea,雪豆
Shallot (WA),紅蔥頭(華盛頓)
Mo Kwa,毛瓜
Snap pea,豌豆
Sing Kwa,廣東絲瓜
Beansprouts (12oz),
Beansprouts #5,
Patora,
Pho #1,
Pho #10,
Tamarindo (Sweet),酸子
Pho #5,
Udon(thick) Noodles,
Chive,韭菜
Garlic,蒜
Romano Beans,
Yellow Chive,
Peeled Garlic,去皮大蒜
Garlic Stem,
Chive Flowers,
Ginger,生姜
Baby Dill,
Small Leaf Tong-Ho,小叶茼蒿
Kabocha,南瓜
American Leek,
Red Spinach/Rau Den,
Swt Pototato (White),白皮甜番薯
winter Melon,冬瓜
Mong Toi,
Jap Potato,日本番薯
Yam Leaf,
Red Yam,紅心番薯
Chinese Celery,中国芹菜
Purple Yam,紫心番薯
Lime Leaf,柠檬叶
Peanut Raw,干花生
Chile Leaf,
Fresh Peanut,新鮮的花生
Curry Leaf,
Taro (Big),大芋頭
Bitter Melon Leaf,苦瓜叶
Taro (Small),小芋頭
Thai Basil,
Peeled Taro,去皮大芋頭
Mangosteen,
Tumeric,
Yuca (Cassava),木薯
Hami Melon,
Galanga,南薑
Korean Melon,
Mint,薄荷
Coconut,新鲜椰青
Old (Brown) Coconut,
Peppermint,
Papaya,木瓜
White Nectarine,白油桃
Tia To,
Yellow Papaya,黄木瓜
Red DragonFruit,紅火龙果
PassionFruit,
DragonFruit (white),火龍果
Banana Flower,香蕉花
Yellow Dragonfruit,
Orange (CA/TX/FL),甜橙
Rambutan,紅毛丹
Napa,大白菜
Grape (Green/Red),绿葡萄
Guava,番石榴
Big Gai Choy,
Mango,芒果
Lychee,荔枝
Bok Choy,青江菜
Green Mango,绿芒果
Longan,龍眼
Baby Bok Choy JR,青江菜苗
Tangerines,柑橘
Cherimoya,番荔枝
Shanghai Flower,青江菜心
Satsuma,蜜柑
White Peach,白桃
(Short) Choi Sum,矮脚白菜心
Asian Pear,亚洲梨
Golden Kiwi,黃金奇異果
(Shrt) Choi Sum JR,矮脚白菜苗
Fuji Apple,富士苹果
Pomelo/Oro Blanco,
Short Choi Flowers,
Baby Banana,小巴蕉
Thai Banana,
Gai Lan,芥兰
AA Choy,台湾A菜
Plaintain,大巴蕉
A Choy SumA,菜心
Om Choy Mil,空心菜苗
Carrot,胡萝卜
Om Choy,空心菜
Seafood Mushroom,海鮮蘑菇
Tomato,西红柿
Small Gai Choy,小芥菜
Oyster Mushroom,蠔菇
Cherry Tomato,樱桃番茄
Sweet Choy,甜白菜
Wh. Mushroom,白菇
Roma Tomato,罗马番茄
She Li Hon,雪里红
BR. Mushroom,小黄菇
Jicama,沙葛
Yu Choy,油菜
Kg. Oyster (bags),杏鲍菇(袋)
Cucumber,黃瓜
Yu Choy Mil,油菜心
King Oyster Mush,杏鲍菇
Persian Cuke,波斯小黄瓜
Head Lettuce,包心生菜
Enoki,金针菇
Shitake,花菇
Red Leaf,紅葉
Green Leaf,
Water Chestnut,马蹄
Tw Spinach,台灣菠菜
Spinach,菠菜
Nagaimo,山药
WaterCress,西洋菜
Lotus Roots,莲藕
Tw Cabbage,台灣包心菜
Green Cabbage,
Arrow Root,粉葛
Cauliflower,白花菜
Broccoli,西兰花
Gobo,牛蒡